fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,sulfur_ratio,alcohol_density_ratio,acidity_balance,best_supervised_prediction,best_supervised_residual
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,0.2647058807958478,8.791200008791202,11.111093474454801,6.0,0.0
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,0.10606060525711664,9.55733444936172,9.843734619164657,6.0,0.0
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,0.30927834732702736,10.149723495403984,11.911747188607073,6.0,0.0
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,0.2526881706844722,9.943742523360262,13.090885289299473,6.0,0.0
6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,6,0.22058823367214533,9.649201277313018,12.916639757000508,6.0,0.0
8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,6,0.2170542618833003,11.068614340295492,12.461519289970322,6.0,0.0
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,5,0.17460317183169569,12.111412887148882,11.911747188607075,5.899715999294151,-0.899715999294151
8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5,0.1559633013214376,9.751674121168069,13.650771982901613,5.0,0.0
7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,5,0.21333333048888894,10.88708579930867,14.363610247981367,5.484380942102913,-0.4843809421029128
6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7,0.33566433331703266,12.51007616013301,11.785693239833497,7.0,0.0
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5,0.23837209163737155,9.698050691810947,7.980761556960043,5.0,0.0
6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,7,0.24999999776785717,11.498878859311217,11.999978181857848,7.0,0.0
6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,6,0.3030302999693909,9.669611533429157,12.115361316612852,4.5379272275909806,1.4620727724090194
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,0.3866666615111112,12.93973621134633,5.438591720533578,8.0,0.0
7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,6,0.0994152040969871,11.394563482339938,9.736829293645666,6.027540003803834,-0.027540003803833812
6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,5,0.25563909582226246,9.542933658529725,14.444412345750344,5.0,0.0
